RD
-145.9223, 126.896, 140.8186, -166.6117, -58.37407, 140.7634, 45 | 0.02358794, 0.5786473, 0.3510742 | 1
-146.3019, 126.6932, 140.654, -166.6725, -58.21489, 141.1429, 45 | 0.02395153, 0.5791784, 0.3512453 | 1
-146.18, 126.7557, 140.6976, -166.6463, -58.25191, 141.0397, 45 | 0.02382791, 0.5791318, 0.3511602 | 1
-145.7288, 126.9773, 140.8939, -166.5411, -58.33038, 140.5686, 45 | 0.02330703, 0.5785276, 0.3508256 | 1
-145.7039, 126.9796, 140.9032, -166.5346, -58.31131, 140.5503, 45 | 0.02317411, 0.5784996, 0.3507943 | 1
-145.9518, 126.7701, 140.8236, -166.55, -58.09382, 140.9042, 45 | 0.02304125, 0.5794153, 0.3507405 | 1
-146.1189, 126.6494, 140.6936, -166.5969, -58.11366, 141.2751, 45 | 0.02310139, 0.5804402, 0.3509301 | 1
-146.3583, 126.4738, 140.5437, -166.6572, -58.13688, 141.6819, 45 | 0.02332309, 0.5812682, 0.3512959 | 1
-146.5677, 126.2143, 140.5134, -166.6388, -57.95961, 141.9021, 45 | 0.02344513, 0.5814592, 0.3515639 | 1
-146.6942, 126.0044, 140.5272, -166.5958, -57.73115, 142.0562, 45 | 0.02331844, 0.5817916, 0.3515783 | 1
-146.5456, 125.9454, 140.5608, -166.5363, -57.83338, 142.1472, 45 | 0.02318862, 0.5825382, 0.3517342 | 1
-146.6273, 125.799, 140.472, -166.5415, -57.90557, 142.4928, 45 | 0.02331942, 0.5836527, 0.3520289 | 1
-147.0342, 125.4047, 140.3924, -166.5446, -57.61009, 142.9239, 45 | 0.02362534, 0.5842375, 0.3523471 | 1
-147.1293, 125.2094, 140.4146, -166.4959, -57.39448, 143.0355, 45 | 0.02348563, 0.584438, 0.3523957 | 1
-147.3264, 124.8886, 140.3488, -166.4629, -57.21207, 143.4391, 45 | 0.0234662, 0.5854586, 0.3526936 | 1
-147.5038, 124.6655, 140.3, -166.4562, -57.08646, 143.7363, 45 | 0.02354449, 0.5861496, 0.3528942 | 1
-147.671, 124.3652, 140.2717, -166.4285, -56.99716, 144.0873, 45 | 0.02370071, 0.5869814, 0.3532919 | 1
-147.7961, 124.1555, 140.2538, -166.4095, -56.89423, 144.3147, 45 | 0.02373996, 0.5874685, 0.3535292 | 1
-147.9992, 123.682, 140.2582, -166.3305, -56.55215, 144.794, 45 | 0.02339789, 0.5887785, 0.3538423 | 1
-148.1179, 123.4003, 140.2103, -166.3072, -56.44206, 145.1943, 45 | 0.02319148, 0.5899214, 0.3541478 | 1
-148.2767, 123.0752, 140.1492, -166.2884, -56.34085, 145.6392, 45 | 0.02310386, 0.5910456, 0.3545859 | 1
-148.645, 122.4023, 140.064, -166.2522, -56.05045, 146.4573, 45 | 0.02297387, 0.5928559, 0.3554448 | 1
-148.6766, 122.1417, 140.0805, -166.1961, -55.91256, 146.7035, 45 | 0.02262184, 0.5935696, 0.3557332 | 1
-149.0261, 121.343, 139.9674, -166.1375, -55.61078, 147.7069, 45 | 0.02227965, 0.5959473, 0.3568492 | 1
-149.3889, 120.739, 139.877, -166.1232, -55.36103, 148.4419, 45 | 0.02232778, 0.5973614, 0.3577381 | 1
-149.6317, 120.3154, 139.8505, -166.1025, -55.15547, 148.8997, 45 | 0.0223465, 0.5981876, 0.358332 | 1
-149.9728, 119.4004, 139.8415, -165.9842, -54.71299, 149.8578, 45 | 0.02203798, 0.6004403, 0.3595601 | 1
-150.1179, 118.9628, 139.8297, -165.9269, -54.57555, 150.3585, 45 | 0.02199581, 0.6017172, 0.3602189 | 1
-150.6716, 117.9596, 139.8247, -165.8619, -54.06682, 151.4544, 45 | 0.02217507, 0.603986, 0.3615608 | 1
-150.956, 117.414, 139.8376, -165.8178, -53.7214, 152.0606, 45 | 0.02211177, 0.6054235, 0.3621718 | 1
-151.1336, 116.775, 139.795, -165.7441, -53.50574, 152.9603, 45 | 0.02177718, 0.6081526, 0.3629872 | 1
